Size,Time
1,0.000000051
2,0.000000050
3,0.000000080
4,0.000000130
5,0.000000090
6,0.000000220
7,0.000000201
8,0.000000150
9,0.000000261
10,0.000000321
20,0.000000702
30,0.000001032
40,0.000001362
50,0.000002314
60,0.000002014
70,0.000002816
80,0.000003015
90,0.000003667
100,0.000004058
200,0.000012252
300,0.000020018
400,0.000022703
500,0.000032410
600,0.000038783
700,0.000044543
800,0.000054752
900,0.000063608
1000,0.000082193
2000,0.000134320
3000,0.000209711
4000,0.000316670
5000,0.000379257
6000,0.000460649
7000,0.000601902
8000,0.000698582
9000,0.000737935
10000,0.000817333
20000,0.001773515
30000,0.002702206
40000,0.003651635
50000,0.004647531
60000,0.005611328
70000,0.006575124
80000,0.007650187
90000,0.009627963
100000,0.010112877
200000,0.026747578
300000,0.046693119
400000,0.059768217
500000,0.088843132
600000,0.104966249
700000,0.122868533
800000,0.156877333
900000,0.167577795
1000000,0.196658200
2000000,0.407670791
