Size,Time
1,0.000000030
2,0.000000050
3,0.000000040
4,0.000000070
5,0.000000061
6,0.000000060
7,0.000000070
8,0.000000060
9,0.000000070
10,0.000000070
20,0.000000100
30,0.000000110
40,0.000000130
50,0.000000270
60,0.000000191
70,0.000000210
80,0.000000231
90,0.000000260
100,0.000000280
200,0.000000831
300,0.000001172
400,0.000000942
500,0.000001162
600,0.000001372
700,0.000001603
800,0.000001844
900,0.000002054
1000,0.000003847
2000,0.000004499
3000,0.000006782
4000,0.000008957
5000,0.000011171
6000,0.000013415
7000,0.000015919
8000,0.000042269
9000,0.000020027
10000,0.000040295
20000,0.000044513
30000,0.000066644
40000,0.000088796
50000,0.000111268
60000,0.000133879
70000,0.000155239
80000,0.000177681
90000,0.000200113
100000,0.000224549
200000,0.000454156
300000,0.000666041
400000,0.000898395
500000,0.001130426
600000,0.001341550
700000,0.001567181
800000,0.001963509
900000,0.002017760
1000000,0.002238331
2000000,0.004507931
