Size,Time
0,0.000000030
1,0.000000070
2,0.000000070
3,0.000000110
4,0.000000111
5,0.000000230
10,0.000000300
15,0.000000330
20,0.000000471
25,0.000000722
30,0.000000661
35,0.000000741
40,0.000000952
45,0.000001052
50,0.000001684
100,0.000003076
150,0.000004759
200,0.000007023
250,0.000008666
300,0.000011100
350,0.000014948
400,0.000020148
450,0.000021811
500,0.000024095
1000,0.000070702
1500,0.000097692
2000,0.000123380
2500,0.000163886
3000,0.000202297
3500,0.000240008
4000,0.000283539
4500,0.000305149
5000,0.000341366
10000,0.000763773
15000,0.001292739
20000,0.001615411
25000,0.002077181
30000,0.002454394
35000,0.002913430
40000,0.003317382
45000,0.003734230
50000,0.004231296
100000,0.008734578
150000,0.013747289
200000,0.019219128
250000,0.024880078
300000,0.035418497
350000,0.039271598
400000,0.051002380
450000,0.052695505
500000,0.058517746
1000000,0.125197663
