Size,Time
0,0.000000030
1,0.000000070
2,0.000000080
3,0.000000070
4,0.000000100
5,0.000000130
10,0.000000251
15,0.000000371
20,0.000000491
25,0.000000861
30,0.000000842
35,0.000000772
40,0.000000932
45,0.000001002
50,0.000001613
100,0.000003597
150,0.000004188
200,0.000005650
250,0.000014797
300,0.000015600
350,0.000014536
400,0.000023985
450,0.000021530
500,0.000031759
1000,0.000072385
1500,0.000103823
2000,0.000142305
2500,0.000175588
3000,0.000213889
3500,0.000245468
4000,0.000286203
4500,0.000340304
5000,0.000431855
10000,0.000821662
15000,0.001338555
20000,0.001670583
25000,0.002161578
30000,0.002644789
35000,0.003241911
40000,0.003840056
45000,0.004033157
50000,0.004396814
100000,0.009804953
150000,0.016267536
200000,0.023480079
250000,0.029135258
300000,0.040910532
350000,0.043057604
400000,0.051954404
450000,0.060222072
500000,0.066676541
1000000,0.150443512
