Size,Time
0,0.000000030
1,0.000000030
2,0.000000040
3,0.000000050
4,0.000000050
5,0.000000060
10,0.000000060
15,0.000000090
20,0.000000090
25,0.000000170
30,0.000000120
35,0.000000130
40,0.000000140
45,0.000000161
50,0.000000251
100,0.000000471
150,0.000000381
200,0.000000491
250,0.000001062
300,0.000001182
350,0.000000831
400,0.000001603
450,0.000001092
500,0.000001162
1000,0.000002264
1500,0.000003406
2000,0.000004529
2500,0.000005611
3000,0.000006733
3500,0.000008536
4000,0.000009037
4500,0.000010089
5000,0.000018394
10000,0.000022341
15000,0.000033462
20000,0.000049783
25000,0.000055524
30000,0.000066825
35000,0.000077805
40000,0.000088846
45000,0.000109143
50000,0.000120685
100000,0.000222185
150000,0.000342027
200000,0.000444408
250000,0.000562979
300000,0.000666963
350000,0.000777598
400000,0.000896140
450000,0.001008489
500000,0.001118605
1000000,0.002238472
