Size,Time
0,0.000000030
1,0.000000050
2,0.000000090
3,0.000000050
4,0.000000110
5,0.000000131
10,0.000000240
15,0.000000320
20,0.000000431
25,0.000000581
30,0.000000621
35,0.000000771
40,0.000000912
45,0.000001373
50,0.000001202
100,0.000002795
150,0.000004499
200,0.000006222
250,0.000008275
300,0.000010590
350,0.000021029
400,0.000018625
450,0.000019526
500,0.000026660
1000,0.000079739
1500,0.000095858
2000,0.000126797
2500,0.000162222
3000,0.000196938
3500,0.000248804
4000,0.000284500
4500,0.000306692
5000,0.000354000
10000,0.000789641
15000,0.001197592
20000,0.001641529
25000,0.002089454
30000,0.002495331
35000,0.002954436
40000,0.003406498
45000,0.003866516
50000,0.004292119
100000,0.009533287
150000,0.016879558
200000,0.023667818
250000,0.027275552
300000,0.034050668
350000,0.039990258
400000,0.046358846
450000,0.052680757
500000,0.062374924
1000000,0.130384321
