Size,Time
0,0.000000020
1,0.000000030
2,0.000000050
3,0.000000030
4,0.000000070
5,0.000000060
10,0.000000070
15,0.000000080
20,0.000000100
25,0.000000120
30,0.000000110
35,0.000000130
40,0.000000140
45,0.000000251
50,0.000000161
100,0.000000261
150,0.000000401
200,0.000000531
250,0.000000601
300,0.000000732
350,0.000001392
400,0.000000941
450,0.000001072
500,0.000001212
1000,0.000002284
1500,0.000003387
2000,0.000004498
2500,0.000005621
3000,0.000006772
3500,0.000007845
4000,0.000009016
4500,0.000010139
5000,0.000011200
10000,0.000022472
15000,0.000033382
20000,0.000044493
25000,0.000055834
30000,0.000067466
35000,0.000087573
40000,0.000088866
45000,0.000100057
50000,0.000111047
100000,0.000231552
150000,0.000342778
200000,0.000443787
250000,0.000564062
300000,0.000675630
350000,0.000786877
400000,0.000897703
450000,0.001010714
500000,0.001119887
1000000,0.002242429
