Size,Time
0,0.000000029
1,0.000000040
2,0.000000050
3,0.000000051
4,0.000000060
5,0.000000060
10,0.000000050
15,0.000000080
20,0.000000101
25,0.000000151
30,0.000000110
35,0.000000131
40,0.000000140
45,0.000000150
50,0.000000270
100,0.000000261
150,0.000000390
200,0.000000551
250,0.000000651
300,0.000000731
350,0.000000832
400,0.000000942
450,0.000001062
500,0.000001182
1000,0.000002275
1500,0.000003386
2000,0.000004518
2500,0.000005630
3000,0.000006722
3500,0.000007845
4000,0.000008947
4500,0.000010138
5000,0.000011180
10000,0.000022342
15000,0.000043361
20000,0.000070942
25000,0.000055514
30000,0.000067165
35000,0.000077745
40000,0.000089366
45000,0.000100117
50000,0.000110967
100000,0.000231221
150000,0.000334824
200000,0.000455048
250000,0.000643269
300000,0.000677072
350000,0.000777178
400000,0.000898274
450000,0.001009311
500000,0.001118595
1000000,0.002242880
