Size,Time
0,0.000000030
1,0.000000050
2,0.000000060
3,0.000000090
4,0.000000140
5,0.000000160
10,0.000000310
15,0.000000351
20,0.000000481
25,0.000000792
30,0.000000701
35,0.000000781
40,0.000000872
45,0.000001033
50,0.000001603
100,0.000003756
150,0.000004218
200,0.000006342
250,0.000009748
300,0.000015018
350,0.000014687
400,0.000025858
450,0.000019987
500,0.000030707
1000,0.000067355
1500,0.000098613
2000,0.000143889
2500,0.000164296
3000,0.000215342
3500,0.000240388
4000,0.000265365
4500,0.000326499
5000,0.000350914
10000,0.000788830
15000,0.001177905
20000,0.001619588
25000,0.002030774
30000,0.002432533
35000,0.002947293
40000,0.003624325
45000,0.003774044
50000,0.004544960
100000,0.010543299
150000,0.015547334
200000,0.022873408
250000,0.033911429
300000,0.038062224
350000,0.041092892
400000,0.047107431
450000,0.052966641
500000,0.062132132
1000000,0.121550126
