Size,Time
0,0.000000020
1,0.000000040
2,0.000000061
3,0.000000050
4,0.000000070
5,0.000000060
10,0.000000061
15,0.000000090
20,0.000000100
25,0.000000170
30,0.000000110
35,0.000000120
40,0.000000140
45,0.000000150
50,0.000000230
100,0.000000431
150,0.000000401
200,0.000000521
250,0.000001062
300,0.000001222
350,0.000000852
400,0.000001623
450,0.000001082
500,0.000001954
1000,0.000002274
1500,0.000003396
2000,0.000007053
2500,0.000005841
3000,0.000006743
3500,0.000007875
4000,0.000008947
4500,0.000010059
5000,0.000011161
10000,0.000036558
15000,0.000033633
20000,0.000044553
25000,0.000055724
30000,0.000069099
35000,0.000077795
40000,0.000088936
45000,0.000109194
50000,0.000111467
100000,0.000222365
150000,0.000333732
200000,0.000454798
250000,0.000571074
300000,0.000685398
350000,0.000786515
400000,0.000896962
450000,0.001008529
500000,0.001119576
1000000,0.002249352
