Size,Time
0,0.000000030
1,0.000000030
2,0.000000050
3,0.000000050
4,0.000000050
5,0.000000060
10,0.000000070
15,0.000000070
20,0.000000090
25,0.000000201
30,0.000000110
35,0.000000121
40,0.000000130
45,0.000000151
50,0.000000170
100,0.000000400
150,0.000000681
200,0.000000501
250,0.000000621
300,0.000000701
350,0.000001443
400,0.000000942
450,0.000001072
500,0.000001162
1000,0.000003847
1500,0.000003417
2000,0.000004529
2500,0.000005640
3000,0.000006752
3500,0.000007834
4000,0.000008966
4500,0.000010079
5000,0.000011190
10000,0.000034685
15000,0.000033382
20000,0.000044763
25000,0.000055674
30000,0.000066764
35000,0.000077685
40000,0.000088925
45000,0.000100016
50000,0.000111207
100000,0.000222134
150000,0.000333180
200000,0.000443877
250000,0.000564633
300000,0.000674798
350000,0.000779092
400000,0.000896621
450000,0.001008088
500000,0.001119447
1000000,0.002241548
