Size,Time
1,0.000000040
2,0.000000050
3,0.000000040
4,0.000000060
5,0.000000030
6,0.000000060
7,0.000000040
8,0.000000060
9,0.000000100
10,0.000000070
20,0.000000091
30,0.000000110
40,0.000000131
50,0.000000200
60,0.000000181
70,0.000000210
80,0.000000230
90,0.000000361
100,0.000000281
200,0.000000491
300,0.000001132
400,0.000000942
500,0.000001172
600,0.000001393
700,0.000002795
800,0.000001864
900,0.000002064
1000,0.000002304
2000,0.000004509
3000,0.000006762
4000,0.000009749
5000,0.000011171
6000,0.000013405
7000,0.000015629
8000,0.000018063
9000,0.000020078
10000,0.000022332
20000,0.000044694
30000,0.000066634
40000,0.000089026
50000,0.000111067
60000,0.000133328
70000,0.000155519
80000,0.000177501
90000,0.000209009
100000,0.000222084
200000,0.000455409
300000,0.000674657
400000,0.000991367
500000,0.001128974
600000,0.001383258
700000,0.001563013
800000,0.001793552
900000,0.002031375
1000000,0.002238231
2000000,0.004488916
