Size,Time
1,0.000000049
2,0.000000090
3,0.000000161
4,0.000000130
5,0.000000190
6,0.000000171
7,0.000000130
8,0.000000200
9,0.000000261
10,0.000000351
20,0.000000742
30,0.000001262
40,0.000001272
50,0.000002204
60,0.000002595
70,0.000001693
80,0.000002865
90,0.000002815
100,0.000004729
200,0.000014147
300,0.000012193
400,0.000024857
500,0.000036218
600,0.000037891
700,0.000039854
800,0.000063919
900,0.000063157
1000,0.000079177
2000,0.000148186
3000,0.000208399
4000,0.000290822
5000,0.000372845
6000,0.000472942
7000,0.000612231
8000,0.000632508
9000,0.000695296
10000,0.000784742
20000,0.001672978
30000,0.002511401
40000,0.003417139
50000,0.004180360
60000,0.005274790
70000,0.006079960
80000,0.007654495
90000,0.008700434
100000,0.010051142
200000,0.021069075
300000,0.038651353
400000,0.045193655
500000,0.061688315
600000,0.083508971
700000,0.086668699
800000,0.099871654
900000,0.112065019
1000000,0.126994692
2000000,0.280864390
