Size,Time
1,0.000000030
2,0.000000060
3,0.000000040
4,0.000000060
5,0.000000049
6,0.000000060
7,0.000000040
8,0.000000040
9,0.000000090
10,0.000000070
20,0.000000110
30,0.000000110
40,0.000000131
50,0.000000230
60,0.000000191
70,0.000000210
80,0.000000230
90,0.000000271
100,0.000000271
200,0.000000872
300,0.000001242
400,0.000000942
500,0.000001774
600,0.000002214
700,0.000001613
800,0.000001854
900,0.000002053
1000,0.000003747
2000,0.000007694
3000,0.000006803
4000,0.000009037
5000,0.000011250
6000,0.000013405
7000,0.000015599
8000,0.000017863
9000,0.000031198
10000,0.000022512
20000,0.000044513
30000,0.000066634
40000,0.000088965
50000,0.000168684
60000,0.000179575
70000,0.000278569
80000,0.000177851
90000,0.000208689
100000,0.000222344
200000,0.000443837
300000,0.000677292
400000,0.000910577
500000,0.001120489
600000,0.001340018
700000,0.001583782
800000,0.001794444
900000,0.002018011
1000000,0.002241077
2000000,0.004486532
