Size,Time
0,0.000000030
1,0.000000030
2,0.000000050
3,0.000000051
4,0.000000060
5,0.000000060
10,0.000000071
15,0.000000080
20,0.000000100
25,0.000000160
30,0.000000110
35,0.000000131
40,0.000000130
45,0.000000131
50,0.000000211
100,0.000000481
150,0.000000631
200,0.000000511
250,0.000000971
300,0.000000721
350,0.000000831
400,0.000001583
450,0.000001052
500,0.000001192
1000,0.000003948
1500,0.000003377
2000,0.000004488
2500,0.000005651
3000,0.000010479
3500,0.000007824
4000,0.000008987
4500,0.000010119
5000,0.000011211
10000,0.000022242
15000,0.000033412
20000,0.000044474
25000,0.000086852
30000,0.000077084
35000,0.000087173
40000,0.000106118
45000,0.000099906
50000,0.000110967
100000,0.000231070
150000,0.000335025
200000,0.000453846
250000,0.000554855
300000,0.000675809
350000,0.000785995
400000,0.000899626
450000,0.001008800
500000,0.001141197
1000000,0.002240876
