Size,Time
0,0.000000030
1,0.000000049
2,0.000000090
3,0.000000080
4,0.000000091
5,0.000000150
10,0.000000211
15,0.000000350
20,0.000000571
25,0.000000932
30,0.000000781
35,0.000001041
40,0.000001192
45,0.000001312
50,0.000001573
100,0.000004930
150,0.000006853
200,0.000008786
250,0.000012103
300,0.000016060
350,0.000019246
400,0.000025528
450,0.000029885
500,0.000040185
1000,0.000068548
1500,0.000102852
2000,0.000140532
2500,0.000188812
3000,0.000281324
3500,0.000258753
4000,0.000328201
4500,0.000355452
5000,0.000402711
10000,0.000863900
15000,0.001459900
20000,0.001774637
25000,0.002274969
30000,0.002741861
35000,0.003227836
40000,0.003712489
45000,0.004267884
50000,0.004723793
100000,0.010569928
150000,0.025120987
200000,0.028052950
250000,0.037067741
300000,0.046619883
350000,0.064212399
400000,0.077203108
450000,0.086826553
500000,0.095636031
1000000,0.198599247
