Size,Time
1,0.000000381
2,0.000000672
3,0.000000972
4,0.000001773
5,0.000001753
6,0.000001783
7,0.000002054
8,0.000002174
9,0.000003417
10,0.000002434
20,0.000004298
30,0.000006001
40,0.000057036
50,0.000015068
60,0.000011191
70,0.000012965
80,0.000014557
90,0.000017232
100,0.000018895
200,0.000056475
300,0.000086791
400,0.000083105
500,0.000094596
600,0.000112679
700,0.000125003
800,0.000206514
900,0.000162653
1000,0.000244375
2000,0.000416536
3000,0.000620176
4000,0.000854322
5000,0.001114948
6000,0.001404748
7000,0.001750732
8000,0.002129359
9000,0.002481495
10000,0.002772477
20000,0.008965548
30000,0.017876876
40000,0.029531646
50000,0.044530649
60000,0.067348393
70000,0.084036103
80000,0.111498713
90000,0.138004200
100000,0.167796942
200000,0.670760375
300000,1.560634888
400000,2.836878386
500000,4.517201236
600000,6.555840879
700000,8.873540229
800000,11.717648114
900000,14.495535567
1000000,17.526542027
2000000,72.182655130
