Size,Time
0,0.000000020
1,0.000000290
2,0.000000370
3,0.000000471
4,0.000000631
5,0.000000911
10,0.000000842
15,0.000001132
20,0.000001393
25,0.000001623
30,0.000001874
35,0.000002174
40,0.000002355
45,0.000002645
50,0.000004598
100,0.000005420
150,0.000007824
200,0.000010410
250,0.000012654
300,0.000015239
350,0.000017693
400,0.000020287
450,0.000022542
500,0.000025007
1000,0.000048661
1500,0.000073216
2000,0.000097802
2500,0.000122388
3000,0.000146724
3500,0.000171750
4000,0.000195324
4500,0.000220090
5000,0.000244355
10000,0.000500363
15000,0.001190408
20000,0.001007557
25000,0.001234059
30000,0.001514943
35000,0.001730214
40000,0.001973708
45000,0.002212874
50000,0.002458842
100000,0.004949394
150000,0.007368282
200000,0.010183819
250000,0.014981661
300000,0.014444730
350000,0.016842258
400000,0.019378946
450000,0.023507139
500000,0.024330233
1000000,0.048245512
