Size,Time
0,0.000000030
1,0.000000171
2,0.000000521
3,0.000000471
4,0.000000511
5,0.000000692
10,0.000001021
15,0.000001393
20,0.000001824
25,0.000003677
30,0.000002715
35,0.000002946
40,0.000003226
45,0.000003607
50,0.000006041
100,0.000010940
150,0.000010590
200,0.000014116
250,0.000026138
300,0.000030857
350,0.000024015
400,0.000041167
450,0.000030196
500,0.000047789
1000,0.000066263
1500,0.000150861
2000,0.000131024
2500,0.000163745
3000,0.000197207
3500,0.000229057
4000,0.000262830
4500,0.000302894
5000,0.000480264
10000,0.000661933
15000,0.000990626
20000,0.001396553
25000,0.001640497
30000,0.001968488
35000,0.002334140
40000,0.002684012
45000,0.002957973
50000,0.003638370
100000,0.007110361
150000,0.010538390
200000,0.020121549
250000,0.019841488
300000,0.020169919
350000,0.025826772
400000,0.028169748
450000,0.034023628
500000,0.036404294
1000000,0.078214383
