Size,Time
0,0.000000030
1,0.000000271
2,0.000000751
3,0.000000501
4,0.000000561
5,0.000000711
10,0.000001162
15,0.000001534
20,0.000001753
25,0.000002404
30,0.000002615
35,0.000003006
40,0.000005220
45,0.000006312
50,0.000004077
100,0.000007875
150,0.000018815
200,0.000015759
250,0.000019466
300,0.000023784
350,0.000045285
400,0.000033743
450,0.000039193
500,0.000045145
1000,0.000108272
1500,0.000188581
2000,0.000287957
2500,0.000427276
3000,0.000553582
3500,0.000709703
4000,0.000948809
4500,0.001066758
5000,0.001275867
10000,0.005915013
15000,0.010691475
20000,0.018217059
25000,0.027933829
30000,0.039654311
35000,0.054649777
40000,0.082539624
45000,0.087595676
50000,0.118794880
100000,0.445363827
150000,1.069519267
200000,1.867714375
250000,2.965918591
300000,4.169722668
350000,5.696390965
400000,6.850074595
450000,9.556885443
500000,11.933901585
1000000,42.847541432
