Size,Time
0,0.000000030
1,0.000000200
2,0.000000450
3,0.000000401
4,0.000000481
5,0.000000962
10,0.000000992
15,0.000001283
20,0.000001664
25,0.000003306
30,0.000003477
35,0.000002665
40,0.000003035
45,0.000003626
50,0.000005961
100,0.000011161
150,0.000010359
200,0.000013626
250,0.000026440
300,0.000032541
350,0.000023033
400,0.000042269
450,0.000043270
500,0.000053450
1000,0.000064460
1500,0.000098002
2000,0.000183172
2500,0.000162373
3000,0.000195755
3500,0.000353349
4000,0.000271596
4500,0.000298806
5000,0.000333431
10000,0.000659549
15000,0.000981820
20000,0.001301396
25000,0.001662438
30000,0.001957769
35000,0.002277705
40000,0.003080992
45000,0.004726138
50000,0.003663157
100000,0.007779228
150000,0.012299813
200000,0.015845430
250000,0.019862456
300000,0.022846848
350000,0.028246541
400000,0.032779640
450000,0.037057041
500000,0.040423515
1000000,0.081072059
