Size,Time
0,0.000000030
1,0.000000141
2,0.000000391
3,0.000000411
4,0.000000561
5,0.000000661
10,0.000001322
15,0.000001803
20,0.000001883
25,0.000003797
30,0.000002856
35,0.000003476
40,0.000003226
45,0.000004158
50,0.000004318
100,0.000011281
150,0.000016982
200,0.000014046
250,0.000019075
300,0.000026910
350,0.000032861
400,0.000027521
450,0.000030326
500,0.000034665
1000,0.000102601
1500,0.000115055
2000,0.000132887
2500,0.000164326
3000,0.000261838
3500,0.000231111
4000,0.000278148
4500,0.000315949
5000,0.000328052
10000,0.000664990
15000,0.000999322
20000,0.001323777
25000,0.001959332
30000,0.002785902
35000,0.002589155
40000,0.002630402
45000,0.002980274
50000,0.003386902
100000,0.006753005
150000,0.011205573
200000,0.015409167
250000,0.020782160
300000,0.024730489
350000,0.029331083
400000,0.033394586
450000,0.038732273
500000,0.043199177
1000000,0.088487449
