Size,Time
1,0.000000410
2,0.000000681
3,0.000001483
4,0.000001222
5,0.000001442
6,0.000001593
7,0.000001913
8,0.000001934
9,0.000003677
10,0.000002474
20,0.000004058
30,0.000005199
40,0.000006422
50,0.000008656
60,0.000008967
70,0.000010309
80,0.000011882
90,0.000013414
100,0.000014737
200,0.000027391
300,0.000060903
400,0.000055493
500,0.000074168
600,0.000084578
700,0.000144559
800,0.000122568
900,0.000127968
1000,0.000139610
2000,0.000322651
3000,0.000528675
4000,0.000763824
5000,0.001014882
6000,0.001310232
7000,0.001610942
8000,0.002019043
9000,0.002587021
10000,0.002925041
20000,0.011564462
30000,0.024299536
40000,0.041587464
50000,0.063227143
60000,0.089620841
70000,0.120801109
80000,0.163472925
90000,0.196458358
100000,0.244169924
200000,1.088570472
300000,2.537391983
400000,4.557793472
500000,7.091811555
600000,10.113725991
700000,13.617434969
800000,16.760272044
900000,23.122329339
1000000,28.379028523
2000000,101.911212094
