Size,Time
1,0.000000131
2,0.000000311
3,0.000000681
4,0.000000681
5,0.000000581
6,0.000000601
7,0.000000821
8,0.000002635
9,0.000000911
10,0.000004058
20,0.000001532
30,0.000002275
40,0.000004949
50,0.000005851
60,0.000006642
70,0.000006923
80,0.000007464
90,0.000008045
100,0.000014387
200,0.000015148
300,0.000024355
400,0.000043040
500,0.000043772
600,0.000050965
700,0.000057537
800,0.000067887
900,0.000076763
1000,0.000084167
2000,0.000188110
3000,0.000264153
4000,0.000363147
5000,0.000491105
6000,0.000552169
7000,0.000646535
8000,0.000749697
9000,0.000804229
10000,0.000918952
20000,0.001786700
30000,0.002727754
40000,0.005628570
50000,0.004484026
60000,0.005339992
70000,0.006293117
80000,0.007101414
90000,0.008048850
100000,0.009056028
200000,0.018449954
300000,0.027230077
400000,0.036223309
500000,0.048646490
600000,0.054266833
700000,0.063814798
800000,0.071898774
900000,0.082253580
1000000,0.089327494
2000000,0.181657965
