Size,Time
1,0.000000431
2,0.000000672
3,0.000000922
4,0.000001082
5,0.000001343
6,0.000001423
7,0.000001674
8,0.000001723
9,0.000003116
10,0.000003547
20,0.000003486
30,0.000004949
40,0.000006011
50,0.000010931
60,0.000008636
70,0.000009668
80,0.000011682
90,0.000012373
100,0.000013796
200,0.000039283
300,0.000057607
400,0.000051275
500,0.000065181
600,0.000080109
700,0.000090509
800,0.000114945
900,0.000119041
1000,0.000204010
2000,0.000297594
3000,0.000422958
4000,0.000607792
5000,0.000802275
6000,0.001082497
7000,0.001128092
8000,0.001343815
9000,0.001598489
10000,0.001780768
20000,0.004704137
30000,0.010820626
40000,0.016195333
50000,0.030288938
60000,0.033907752
70000,0.045314490
80000,0.062057282
90000,0.073129206
100000,0.087692888
200000,0.334983719
300000,0.771681005
400000,1.436373501
500000,2.316506872
600000,3.362099399
700000,4.643471735
800000,5.978489776
900000,7.634674050
1000000,9.440080465
2000000,36.029452179
