Size,Time
0,0.000000030
1,0.000000291
2,0.000000791
3,0.000000722
4,0.000000721
5,0.000000871
10,0.000001443
15,0.000001924
20,0.000002445
25,0.000004589
30,0.000003527
35,0.000003977
40,0.000004608
45,0.000005030
50,0.000008616
100,0.000016981
150,0.000025407
200,0.000021550
250,0.000043571
300,0.000067526
350,0.000038963
400,0.000072105
450,0.000051546
500,0.000064320
1000,0.000234296
1500,0.000242152
2000,0.000369048
2500,0.000512335
3000,0.000699934
3500,0.001029518
4000,0.001090983
4500,0.001358652
5000,0.001583260
10000,0.005735709
15000,0.012483194
20000,0.021647824
25000,0.033527302
30000,0.047938590
35000,0.065847116
40000,0.099692912
45000,0.106265390
50000,0.129405174
100000,0.573196342
150000,1.221932613
200000,2.211744152
250000,3.507273356
300000,5.015090337
350000,6.684232001
400000,8.247559223
450000,10.440935405
500000,13.252765128
1000000,51.285494124
