Size,Time
0,0.000000030
1,0.000000150
2,0.000000521
3,0.000000622
4,0.000000661
5,0.000000881
10,0.000001754
15,0.000002424
20,0.000003477
25,0.000005901
30,0.000004849
35,0.000005981
40,0.000006452
45,0.000006893
50,0.000008346
100,0.000043280
150,0.000033682
200,0.000033973
250,0.000043381
300,0.000064400
350,0.000061064
400,0.000073577
450,0.000081402
500,0.000126897
1000,0.000192438
1500,0.000327641
2000,0.000434670
2500,0.000580281
3000,0.000716836
3500,0.000875432
4000,0.001197010
4500,0.001138291
5000,0.001294212
10000,0.002941672
15000,0.004536905
20000,0.007194598
25000,0.008151010
30000,0.010146099
35000,0.011877966
40000,0.014022914
45000,0.016364277
50000,0.018693708
100000,0.045280667
150000,0.090130280
200000,0.116380330
250000,0.165972533
300000,0.281776460
350000,0.286140583
400000,0.375836824
450000,0.407393324
500000,0.501233649
1000000,1.240789524
