Size,Time
0,0.000000030
1,0.000000281
2,0.000000561
3,0.000000601
4,0.000000712
5,0.000000852
10,0.000001433
15,0.000002024
20,0.000002474
25,0.000004879
30,0.000003647
35,0.000003907
40,0.000004508
45,0.000020047
50,0.000005841
100,0.000017602
150,0.000026379
200,0.000021771
250,0.000027120
300,0.000037410
350,0.000038803
400,0.000047348
450,0.000052478
500,0.000110216
1000,0.000141935
1500,0.000246980
2000,0.000386601
2500,0.000509239
3000,0.000688112
3500,0.001049456
4000,0.001240101
4500,0.001344355
5000,0.001613858
10000,0.005711725
15000,0.013179502
20000,0.021699109
25000,0.033240328
30000,0.047660111
35000,0.064826753
40000,0.090757419
45000,0.106008301
50000,0.130102304
100000,0.525722808
150000,1.225402620
200000,2.206042326
250000,3.454325811
300000,4.670006817
350000,6.530249238
400000,8.954650254
450000,10.910833423
500000,13.089409395
1000000,54.544432588
