Size,Time
1,0.000000030
2,0.000000041
3,0.000000050
4,0.000000070
5,0.000000080
6,0.000000170
7,0.000000190
8,0.000000130
9,0.000000211
10,0.000000171
20,0.000000410
30,0.000000651
40,0.000000882
50,0.000001283
60,0.000001553
70,0.000001562
80,0.000001963
90,0.000002875
100,0.000002695
200,0.000009428
300,0.000009037
400,0.000019967
500,0.000031178
600,0.000031338
700,0.000035997
800,0.000051526
900,0.000057397
1000,0.000069439
2000,0.000131666
3000,0.000203239
4000,0.000292306
5000,0.000442286
6000,0.000448988
7000,0.000625357
8000,0.000654061
9000,0.000897937
10000,0.001002452
20000,0.001865313
30000,0.003514001
40000,0.003814122
50000,0.004737115
60000,0.005798667
70000,0.006653624
80000,0.007818179
90000,0.008963989
100000,0.009795872
200000,0.031462289
300000,0.048064480
400000,0.064359917
500000,0.086650480
600000,0.114181820
700000,0.137747783
800000,0.161473656
900000,0.177198438
1000000,0.201164660
2000000,0.375274831
