Size,Time
1,0.000000031
2,0.000000031
3,0.000000030
4,0.000000040
5,0.000000030
6,0.000000040
7,0.000000040
8,0.000000050
9,0.000000050
10,0.000000050
20,0.000000071
30,0.000000090
40,0.000000110
50,0.000000140
60,0.000000170
70,0.000000181
80,0.000000210
90,0.000000350
100,0.000000250
200,0.000000731
300,0.000000721
400,0.000000922
500,0.000001834
600,0.000002234
700,0.000001614
800,0.000001803
900,0.000002044
1000,0.000002254
2000,0.000004488
3000,0.000006672
4000,0.000008927
5000,0.000018545
6000,0.000013365
7000,0.000025397
8000,0.000017773
9000,0.000033643
10000,0.000037190
20000,0.000044593
30000,0.000082865
40000,0.000089467
50000,0.000110758
60000,0.000134361
70000,0.000163665
80000,0.000177211
90000,0.000200535
100000,0.000223026
200000,0.000453427
300000,0.000676833
400000,0.000898077
500000,0.001119841
600000,0.001349039
700000,0.001570603
800000,0.001804530
900000,0.002019070
1000000,0.002234893
2000000,0.004475837
