Size,Time
1,0.000000040
2,0.000000050
3,0.000000050
4,0.000000060
5,0.000000060
6,0.000000050
7,0.000000070
8,0.000000061
9,0.000000070
10,0.000000070
20,0.000000090
30,0.000000160
40,0.000000120
50,0.000000150
60,0.000000160
70,0.000000190
80,0.000000210
90,0.000000401
100,0.000000401
200,0.000000761
300,0.000001233
400,0.000000922
500,0.000001132
600,0.000002184
700,0.000001623
800,0.000001813
900,0.000002064
1000,0.000002274
2000,0.000004529
3000,0.000006773
4000,0.000008977
5000,0.000011161
6000,0.000021140
7000,0.000024075
8000,0.000018044
9000,0.000020008
10000,0.000022542
20000,0.000066804
30000,0.000103373
40000,0.000089487
50000,0.000110677
60000,0.000133019
70000,0.000169417
80000,0.000197158
90000,0.000200355
100000,0.000221453
200000,0.000445552
300000,0.000676413
400000,0.000918835
500000,0.001119991
600000,0.001350382
700000,0.001568108
800000,0.001799200
900000,0.002016466
1000000,0.002233440
2000000,0.005201272
