Size,Time
1,0.000000051
2,0.000000070
3,0.000000081
4,0.000000131
5,0.000000150
6,0.000000161
7,0.000000110
8,0.000000150
9,0.000000220
10,0.000000220
20,0.000000651
30,0.000001242
40,0.000001443
50,0.000001643
60,0.000001893
70,0.000001633
80,0.000002325
90,0.000003536
100,0.000004188
200,0.000012894
300,0.000014107
400,0.000024165
500,0.000029585
600,0.000031549
700,0.000038572
800,0.000054813
900,0.000065923
1000,0.000073748
2000,0.000155209
3000,0.000203500
4000,0.000281385
5000,0.000373588
6000,0.000510903
7000,0.000612453
8000,0.000707721
9000,0.000667165
10000,0.000778754
20000,0.001631607
30000,0.002508274
40000,0.003577831
50000,0.004114693
60000,0.005272265
70000,0.005905778
80000,0.007792761
90000,0.007859425
100000,0.008549564
200000,0.018995651
300000,0.029568803
400000,0.040063099
500000,0.050290686
600000,0.058964202
700000,0.069523259
800000,0.079090323
900000,0.093395005
1000000,0.102375493
2000000,0.235021791
