Size,Time
1,0.000000040
2,0.000000051
3,0.000000050
4,0.000000090
5,0.000000080
6,0.000000100
7,0.000000130
8,0.000000130
9,0.000000160
10,0.000000170
20,0.000000471
30,0.000000651
40,0.000001022
50,0.000001092
60,0.000001623
70,0.000001783
80,0.000001953
90,0.000003066
100,0.000002865
200,0.000008256
300,0.000011782
400,0.000023143
500,0.000028894
600,0.000030697
700,0.000044093
800,0.000049602
900,0.000057147
1000,0.000064470
2000,0.000132588
3000,0.000210543
4000,0.000274152
5000,0.000435002
6000,0.000449669
7000,0.000644324
8000,0.000626550
9000,0.000902054
10000,0.000956126
20000,0.002196492
30000,0.003102713
40000,0.003796910
50000,0.004994816
60000,0.005717286
70000,0.009370607
80000,0.007825753
90000,0.009266483
100000,0.011311241
200000,0.023219177
300000,0.050364965
400000,0.065847386
500000,0.088751543
600000,0.113069752
700000,0.137481596
800000,0.163472698
900000,0.178938748
1000000,0.214681243
2000000,0.370631481
