Size,Time
1,0.000000030
2,0.000000030
3,0.000000030
4,0.000000040
5,0.000000030
6,0.000000040
7,0.000000040
8,0.000000040
9,0.000000040
10,0.000000041
20,0.000000070
30,0.000000089
40,0.000000121
50,0.000000150
60,0.000000161
70,0.000000190
80,0.000000201
90,0.000000371
100,0.000000250
200,0.000000812
300,0.000000731
400,0.000001472
500,0.000001162
600,0.000001483
700,0.000001603
800,0.000001824
900,0.000002034
1000,0.000002265
2000,0.000004468
3000,0.000006693
4000,0.000008927
5000,0.000017673
6000,0.000013345
7000,0.000023975
8000,0.000017773
9000,0.000032952
10000,0.000033423
20000,0.000084778
30000,0.000104655
40000,0.000098554
50000,0.000110877
60000,0.000132909
70000,0.000171560
80000,0.000177161
90000,0.000199332
100000,0.000355494
200000,0.000454669
300000,0.000666073
400000,0.000899139
500000,0.001118920
600000,0.001456950
700000,0.001569891
800000,0.001804389
900000,0.002010935
1000000,0.003612205
2000000,0.004492940
