Size,Time
1,0.000000250
2,0.000000411
3,0.000000581
4,0.000000812
5,0.000000871
6,0.000001123
7,0.000001362
8,0.000001503
9,0.000001794
10,0.000001954
20,0.000003466
30,0.000005170
40,0.000009067
50,0.000008066
60,0.000009498
70,0.000011281
80,0.000012664
90,0.000020709
100,0.000016090
200,0.000036007
300,0.000046948
400,0.000062487
500,0.000082233
600,0.000102051
700,0.000168394
800,0.000124011
900,0.000146222
1000,0.000183463
2000,0.000338251
3000,0.000540930
4000,0.000738719
5000,0.000978117
6000,0.001223955
7000,0.002198755
8000,0.001770486
9000,0.003071546
10000,0.002430589
20000,0.011825712
30000,0.017062841
40000,0.028529673
50000,0.045135730
60000,0.060846517
70000,0.083232258
80000,0.106451675
90000,0.134432352
100000,0.231784836
200000,0.672414714
300000,1.575757097
400000,2.916530815
500000,4.616987694
600000,6.591854161
700000,9.006837639
800000,11.423206840
900000,14.999412012
1000000,17.953001520
2000000,68.691703848
