Size,Time
1,0.000000260
2,0.000000290
3,0.000000380
4,0.000000510
5,0.000000561
6,0.000000882
7,0.000000702
8,0.000000851
9,0.000001012
10,0.000000921
20,0.000001332
30,0.000001803
40,0.000003096
50,0.000002685
60,0.000003236
70,0.000003676
80,0.000004218
90,0.000006973
100,0.000007424
200,0.000014197
300,0.000021249
400,0.000033622
500,0.000024295
600,0.000042520
700,0.000033783
800,0.000038713
900,0.000055204
1000,0.000047969
2000,0.000111408
3000,0.000145963
4000,0.000190757
5000,0.000240219
6000,0.000432157
7000,0.000510784
8000,0.000451694
9000,0.000439210
10000,0.000530190
20000,0.001069167
30000,0.001437765
40000,0.001931948
50000,0.002409139
60000,0.002898232
70000,0.003395561
80000,0.003851772
90000,0.004334605
100000,0.004803310
200000,0.009638338
300000,0.014398286
400000,0.019255826
500000,0.024173679
600000,0.041677500
700000,0.036409327
800000,0.038559381
900000,0.044170839
1000000,0.048394436
2000000,0.106833658
