Size,Time
1,0.000000080
2,0.000000210
3,0.000000240
4,0.000000421
5,0.000000461
6,0.000000590
7,0.000000491
8,0.000000591
9,0.000000711
10,0.000000892
20,0.000001653
30,0.000002184
40,0.000003807
50,0.000004218
60,0.000004709
70,0.000005350
80,0.000006001
90,0.000008546
100,0.000007043
200,0.000019446
300,0.000028793
400,0.000026910
500,0.000048280
600,0.000055614
700,0.000056856
800,0.000052157
900,0.000083906
1000,0.000099345
2000,0.000129632
3000,0.000209772
4000,0.000361505
5000,0.000340356
6000,0.000399385
7000,0.000673477
8000,0.000546421
9000,0.000575264
10000,0.000713783
20000,0.002180622
30000,0.002041893
40000,0.003327243
50000,0.003356688
60000,0.004016360
70000,0.004533225
80000,0.005217753
90000,0.005782478
100000,0.006747469
200000,0.014804475
300000,0.021636240
400000,0.029533838
500000,0.038905557
600000,0.046648666
700000,0.065421651
800000,0.061587180
900000,0.070132136
1000000,0.080433070
2000000,0.151346786
