Size,Time
1,0.000000110
2,0.000000170
3,0.000000260
4,0.000000310
5,0.000000371
6,0.000000411
7,0.000000491
8,0.000000521
9,0.000000530
10,0.000000741
20,0.000001153
30,0.000001774
40,0.000003185
50,0.000002695
60,0.000003256
70,0.000003837
80,0.000004218
90,0.000006582
100,0.000005219
200,0.000014347
300,0.000075972
400,0.000019436
500,0.000035757
600,0.000029315
700,0.000041237
800,0.000055474
900,0.000046366
1000,0.000075521
2000,0.000095568
3000,0.000143038
4000,0.000208279
5000,0.000238234
6000,0.000285663
7000,0.000533786
8000,0.000393875
9000,0.000444359
10000,0.000531442
20000,0.001581654
30000,0.001446341
40000,0.001920106
50000,0.002406944
60000,0.002890958
70000,0.003359663
80000,0.003837155
90000,0.004339193
100000,0.004805873
200000,0.009640542
300000,0.014541684
400000,0.019202427
500000,0.024287241
600000,0.029621351
700000,0.033650365
800000,0.038445518
900000,0.043256752
1000000,0.048329064
2000000,0.096734560
