Size,Time
1,0.000000060
2,0.000000131
3,0.000000251
4,0.000000341
5,0.000000371
6,0.000000411
7,0.000000652
8,0.000000752
9,0.000000771
10,0.000000932
20,0.000001543
30,0.000002164
40,0.000002986
50,0.000003957
60,0.000004208
70,0.000005010
80,0.000005340
90,0.000008556
100,0.000007133
200,0.000019176
300,0.000020919
400,0.000026740
500,0.000046366
600,0.000043712
700,0.000048471
800,0.000056014
900,0.000074139
1000,0.000074449
2000,0.000132437
3000,0.000204232
4000,0.000259194
5000,0.000528997
6000,0.000411238
7000,0.000644874
8000,0.000520502
9000,0.000881837
10000,0.001122446
20000,0.001344891
30000,0.002176104
40000,0.002683080
50000,0.003436126
60000,0.004029744
70000,0.004714023
80000,0.005329160
90000,0.006469821
100000,0.006700762
200000,0.015714744
300000,0.027424870
400000,0.038185953
500000,0.050684191
600000,0.065211809
700000,0.075595388
800000,0.096300890
900000,0.100485374
1000000,0.120883373
2000000,0.210532222
