Size,Time
1,0.000000090
2,0.000000160
3,0.000000331
4,0.000000361
5,0.000000491
6,0.000000491
7,0.000000661
8,0.000000752
9,0.000000741
10,0.000000832
20,0.000001633
30,0.000002394
40,0.000003055
50,0.000003738
60,0.000004468
70,0.000005401
80,0.000009127
90,0.000009728
100,0.000007304
200,0.000021280
300,0.000021961
400,0.000028864
500,0.000053080
600,0.000044192
700,0.000051215
800,0.000059040
900,0.000089567
1000,0.000074189
2000,0.000166972
3000,0.000273651
4000,0.000394547
5000,0.000791598
6000,0.000681041
7000,0.000983837
8000,0.001033270
9000,0.001812725
10000,0.001893966
20000,0.004435272
30000,0.009226970
40000,0.017441258
50000,0.024255512
60000,0.034253991
70000,0.045547499
80000,0.060324863
90000,0.074197468
100000,0.094798294
200000,0.354140258
300000,0.827435968
400000,1.516391258
500000,2.356426629
600000,3.438946051
700000,4.648845467
800000,5.810469110
900000,7.542316788
1000000,8.941666641
2000000,36.446753940
