Size,Time
1,0.000000150
2,0.000000281
3,0.000000390
4,0.000000391
5,0.000000511
6,0.000000692
7,0.000000521
8,0.000000691
9,0.000000702
10,0.000000831
20,0.000001713
30,0.000002135
40,0.000003737
50,0.000003717
60,0.000004128
70,0.000004890
80,0.000005380
90,0.000008596
100,0.000009468
200,0.000018965
300,0.000028774
400,0.000043311
500,0.000032931
600,0.000063248
700,0.000047369
800,0.000054030
900,0.000083887
1000,0.000078487
2000,0.000171120
3000,0.000192279
4000,0.000270295
5000,0.000330868
6000,0.000564343
7000,0.000678637
8000,0.000540540
9000,0.000614588
10000,0.000691271
20000,0.001301350
30000,0.001983274
40000,0.002633177
50000,0.003286387
60000,0.003920751
70000,0.004595150
80000,0.005509958
90000,0.006402945
100000,0.006517419
200000,0.014177664
300000,0.022738468
400000,0.030831431
500000,0.038263418
600000,0.045867317
700000,0.054668771
800000,0.062331030
900000,0.078285731
1000000,0.076651981
2000000,0.157986524
