Size,Time
1,0.000000190
2,0.000000621
3,0.000000461
4,0.000000541
5,0.000000751
6,0.000001022
7,0.000000741
8,0.000000911
9,0.000001062
10,0.000001082
20,0.000002024
30,0.000003086
40,0.000005811
50,0.000004840
60,0.000005801
70,0.000006653
80,0.000007584
90,0.000012433
100,0.000013816
200,0.000027852
300,0.000042589
400,0.000040315
500,0.000050735
600,0.000079719
700,0.000076243
800,0.000101790
900,0.000124683
1000,0.000118992
2000,0.000349683
3000,0.000548604
4000,0.000843946
5000,0.001200873
6000,0.001942588
7000,0.002995924
8000,0.003248917
9000,0.004293347
10000,0.003948824
20000,0.014824020
30000,0.033317743
40000,0.056964809
50000,0.092575644
60000,0.129661782
70000,0.171356740
80000,0.281569069
90000,0.282402423
100000,0.353278128
200000,1.456985173
300000,3.384950584
400000,6.022642459
500000,9.252917327
600000,13.042592901
700000,18.196169174
800000,22.333787025
900000,27.883183448
1000000,37.385330838
2000000,149.960327191
