Size,Time
1,0.000000610
2,0.000000621
3,0.000000621
4,0.000000671
5,0.000000771
6,0.000000761
7,0.000001042
8,0.000001062
9,0.000000962
10,0.000001052
20,0.000001963
30,0.000002796
40,0.000003497
50,0.000009297
60,0.000007935
70,0.000008375
80,0.000006802
90,0.000010470
100,0.000008605
200,0.000019507
300,0.000036959
400,0.000034505
500,0.000041077
600,0.000062337
700,0.000077926
800,0.000059801
900,0.000089597
1000,0.000096721
2000,0.000213869
3000,0.000288969
4000,0.000312213
5000,0.000369871
6000,0.000648651
7000,0.000534739
8000,0.000826543
9000,0.000618425
10000,0.000996981
20000,0.002056260
30000,0.002292661
40000,0.002949217
50000,0.003606885
60000,0.004139770
70000,0.004847732
80000,0.006074673
90000,0.006063011
100000,0.006406052
200000,0.015752395
300000,0.022636568
400000,0.030157462
500000,0.035229954
600000,0.040323455
700000,0.047369772
800000,0.052923683
900000,0.059039113
1000000,0.069213712
2000000,0.150601254
