Size,Time
1,0.000000210
2,0.000000381
3,0.000000631
4,0.000000821
5,0.000000982
6,0.000001082
7,0.000001323
8,0.000003086
9,0.000001723
10,0.000001743
20,0.000003045
30,0.000004087
40,0.000005249
50,0.000006212
60,0.000007304
70,0.000010380
80,0.000009447
90,0.000014016
100,0.000011642
200,0.000030687
300,0.000033383
400,0.000043341
500,0.000071563
600,0.000100268
700,0.000084047
800,0.000092483
900,0.000100859
1000,0.000117169
2000,0.000273461
3000,0.000446083
4000,0.000642350
5000,0.001261996
6000,0.001100656
7000,0.001467571
8000,0.001671962
9000,0.003531625
10000,0.004264252
20000,0.011849727
30000,0.023249303
40000,0.040544297
50000,0.063147253
60000,0.087827008
70000,0.120741648
80000,0.156224304
90000,0.194738239
100000,0.257461692
200000,1.081177971
300000,2.560925935
400000,4.590473635
500000,7.109937018
600000,10.111730494
700000,13.678845220
800000,17.124644739
900000,22.907820888
1000000,26.450730395
2000000,104.054302482
