Size,Time
1,0.000001213
2,0.000000912
3,0.000001082
4,0.000001333
5,0.000001573
6,0.000001523
7,0.000001783
8,0.000001783
9,0.000002053
10,0.000002054
20,0.000003537
30,0.000004268
40,0.000004509
50,0.000005420
60,0.000005711
70,0.000005580
80,0.000007353
90,0.000008977
100,0.000009638
200,0.000017984
300,0.000025377
400,0.000025307
500,0.000024676
600,0.000053901
700,0.000035817
800,0.000040466
900,0.000092012
1000,0.000049362
2000,0.000102231
3000,0.000152364
4000,0.000200414
5000,0.000368218
6000,0.000541431
7000,0.000462734
8000,0.000494704
9000,0.000469597
10000,0.000853313
20000,0.001836039
30000,0.001902142
40000,0.002276260
50000,0.003321371
60000,0.003655366
70000,0.005195221
80000,0.004395527
90000,0.007720717
100000,0.005813666
200000,0.010117933
300000,0.015149649
400000,0.019345493
500000,0.024905255
600000,0.031253168
700000,0.034616479
800000,0.040584482
900000,0.050612147
1000000,0.048964951
2000000,0.113027113
