Size,Time
1,0.000000070
2,0.000000240
3,0.000000311
4,0.000000240
5,0.000000321
6,0.000000481
7,0.000000541
8,0.000000611
9,0.000000701
10,0.000000682
20,0.000001493
30,0.000001903
40,0.000003386
50,0.000003306
60,0.000003827
70,0.000004328
80,0.000004929
90,0.000008185
100,0.000008196
200,0.000018715
300,0.000024456
400,0.000025588
500,0.000030316
600,0.000051015
700,0.000044864
800,0.000051526
900,0.000059191
1000,0.000062908
2000,0.000129001
3000,0.000187400
4000,0.000251159
5000,0.000371975
6000,0.000542533
7000,0.000619707
8000,0.000567039
9000,0.000590132
10000,0.000637460
20000,0.001306519
30000,0.003102113
40000,0.005315726
50000,0.004090227
60000,0.004525340
70000,0.006286298
80000,0.005465926
90000,0.006388098
100000,0.007064001
200000,0.017376387
300000,0.019671332
400000,0.037257500
500000,0.037842092
600000,0.044184023
700000,0.045503808
800000,0.058156504
900000,0.061887612
1000000,0.070015890
2000000,0.131980263
