Size,Time
1,0.000000050
2,0.000000131
3,0.000000170
4,0.000000230
5,0.000002184
6,0.000000350
7,0.000000662
8,0.000000541
9,0.000002544
10,0.000000592
20,0.000001342
30,0.000001884
40,0.000003596
50,0.000003276
60,0.000003616
70,0.000004258
80,0.000006543
90,0.000007103
100,0.000006102
200,0.000016110
300,0.000018004
400,0.000024074
500,0.000032260
600,0.000037460
700,0.000060563
800,0.000051887
900,0.000059781
1000,0.000081913
2000,0.000125915
3000,0.000193622
4000,0.000323864
5000,0.000509131
6000,0.000417870
7000,0.000695389
8000,0.000567249
9000,0.000971354
10000,0.000972726
20000,0.002078150
30000,0.002966980
40000,0.004413161
50000,0.007102132
60000,0.005598394
70000,0.009540945
80000,0.009297891
90000,0.012684906
100000,0.015579602
200000,0.027085126
300000,0.042409520
400000,0.061731209
500000,0.076324499
600000,0.107668559
700000,0.119400524
800000,0.144574872
900000,0.164476323
1000000,0.167442973
2000000,0.311712423
