Size,Time
1,0.000000191
2,0.000000481
3,0.000000541
4,0.000000661
5,0.000000892
6,0.000001032
7,0.000001192
8,0.000001232
9,0.000001413
10,0.000001483
20,0.000025027
30,0.000003526
40,0.000007002
50,0.000005390
60,0.000006592
70,0.000007665
80,0.000008807
90,0.000013465
100,0.000013064
200,0.000026409
300,0.000031089
400,0.000051386
500,0.000088445
600,0.000064851
700,0.000089016
800,0.000085981
900,0.000098404
1000,0.000107802
2000,0.000228196
3000,0.000341748
4000,0.000492249
5000,0.000962737
6000,0.000791157
7000,0.001366191
8000,0.001116144
9000,0.001988714
10000,0.002002640
20000,0.006552696
30000,0.011698074
40000,0.017655458
50000,0.022662016
60000,0.031883124
70000,0.043014711
80000,0.055766511
90000,0.083830264
100000,0.118061313
200000,0.339170786
300000,0.795836443
400000,1.427451406
500000,2.299741892
600000,3.368012637
700000,4.599246631
800000,6.064689642
900000,7.548595812
1000000,9.465573408
2000000,36.098004769
