Size,Time
1,0.000000080
2,0.000000140
3,0.000000281
4,0.000000350
5,0.000000411
6,0.000000541
7,0.000000681
8,0.000000872
9,0.000001082
10,0.000001132
20,0.000002685
30,0.000003998
40,0.000006573
50,0.000007043
60,0.000008486
70,0.000009588
80,0.000011672
90,0.000016250
100,0.000014017
200,0.000036809
300,0.000055654
400,0.000062446
500,0.000101510
600,0.000099506
700,0.000154027
800,0.000131906
900,0.000192650
1000,0.000248334
2000,0.000366554
3000,0.000798221
4000,0.000778073
5000,0.001274089
6000,0.001255183
7000,0.002067340
8000,0.002069054
9000,0.001977803
10000,0.002278615
20000,0.006756376
30000,0.009806071
40000,0.011094035
50000,0.015048790
60000,0.018732098
70000,0.021724406
80000,0.024499738
90000,0.028672239
100000,0.031712085
200000,0.098157117
300000,0.162040385
400000,0.224531052
500000,0.296964855
600000,0.349971053
700000,0.460663767
800000,0.589094152
900000,0.718143484
1000000,0.785501147
2000000,1.832967506
