Size,Time
1,0.000000100
2,0.000000190
3,0.000000361
4,0.000000351
5,0.000000471
6,0.000000621
7,0.000000782
8,0.000000972
9,0.000001001
10,0.000000881
20,0.000002104
30,0.000003256
40,0.000005840
50,0.000005240
60,0.000006152
70,0.000007243
80,0.000008195
90,0.000013225
100,0.000010179
200,0.000029014
300,0.000043150
400,0.000041127
500,0.000060483
600,0.000062828
700,0.000128770
800,0.000085971
900,0.000139560
1000,0.000146463
2000,0.000263992
3000,0.000476370
4000,0.000624216
5000,0.001245356
6000,0.001098000
7000,0.002017017
8000,0.001989545
9000,0.002070957
10000,0.002424728
20000,0.012476227
30000,0.021547325
40000,0.029909409
50000,0.045838554
60000,0.067698161
70000,0.087674162
80000,0.119233252
90000,0.144212304
100000,0.225355230
200000,0.718731657
300000,1.630428139
400000,2.967764799
500000,4.673147152
600000,6.555572171
700000,8.967862872
800000,11.147266612
900000,13.817416341
1000000,17.571931142
2000000,69.144334588
