Size,Time
1,0.000000070
2,0.000000160
3,0.000000190
4,0.000000341
5,0.000000390
6,0.000000611
7,0.000000651
8,0.000000811
9,0.000001112
10,0.000001012
20,0.000002395
30,0.000003998
40,0.000006533
50,0.000006682
60,0.000008165
70,0.000009628
80,0.000011041
90,0.000015940
100,0.000014637
200,0.000035777
300,0.000045024
400,0.000062366
500,0.000083065
600,0.000101900
700,0.000156443
800,0.000152846
900,0.000153517
1000,0.000169557
2000,0.000362748
3000,0.000574202
4000,0.000816785
5000,0.001165336
6000,0.001297924
7000,0.002049387
8000,0.001775626
9000,0.003075513
10000,0.002354527
20000,0.007144712
30000,0.008708130
40000,0.012016708
50000,0.016207814
60000,0.018787461
70000,0.023857097
80000,0.026048479
90000,0.030454066
100000,0.044622032
200000,0.094273044
300000,0.213987724
400000,0.251517472
500000,0.323802028
600000,0.471756079
700000,0.570953917
800000,0.685100321
900000,0.836967028
1000000,0.927932135
2000000,1.652411348
