Size,Time
1,0.000001082
80000,0.003702920
2,0.000001402
3,0.000005340
4,0.000001613
900,0.000039704
5,0.000002135
6,0.000001052
400000,0.031102741
7,0.000001102
8,0.000001222
5000,0.000249765
9,0.000001343
10,0.000001403
800000,0.071322438
400,0.000021029
10000,0.000411657
90000,0.004664972
20,0.000002364
30,0.000002114
2000000,0.178076422
800,0.000036828
4000,0.000205413
20000,0.000916097
100000,0.004844576
500000,0.043439447
40,0.000002354
9000,0.000384196
300,0.000015148
900000,0.059260444
30000,0.001425476
50,0.000004308
3000,0.000169385
60,0.000005149
700,0.000033472
8000,0.000323132
40000,0.001917022
200000,0.011110231
70,0.000003457
200,0.000009588
600000,0.047700696
1000000,0.099988309
80,0.000003927
2000,0.000099124
50000,0.002465744
600,0.000028483
7000,0.000344001
90,0.000004469
60000,0.002967680
100,0.000004358
300000,0.017096504
1000,0.000035787
700000,0.064791369
6000,0.000238764
70000,0.004230091
500,0.000026048
