Size,Time
1,0.000000641
80000,0.000108252
2,0.000000902
3,0.000000791
4,0.000000421
900,0.000000481
5,0.000000581
6,0.000000581
400000,0.001194596
7,0.000000631
8,0.000000801
5000,0.000003436
9,0.000000832
10,0.000000782
800000,0.002129177
400,0.000004759
10000,0.000007163
90000,0.000119603
20,0.000001282
30,0.000000461
2000000,0.004107273
800,0.000000512
4000,0.000002725
20000,0.000015369
100000,0.000115235
500000,0.001837744
40,0.000000551
9000,0.000006212
300,0.000003085
900000,0.001591826
30000,0.000024115
50,0.000000491
3000,0.000002244
60,0.000000571
700,0.000000431
8000,0.000005771
40000,0.000034053
200000,0.000419992
70,0.000000861
200,0.000002094
600000,0.001613757
1000000,0.002246516
80,0.000000972
2000,0.000001082
50000,0.000049823
600,0.000000401
7000,0.000006171
90,0.000001162
60000,0.000057587
100,0.000001182
300000,0.000452713
1000,0.000000431
700000,0.001934064
6000,0.000003727
70000,0.000187369
500,0.000005089
