Size,Time
0,0.000000270
1,0.000001913
2,0.000001203
3,0.000000581
4,0.000000982
5,0.000001303
400000,0.019366564
5000,0.000247911
10,0.000001383
15,0.000003958
400,0.000013936
10000,0.000492899
250000,0.011400071
20,0.000001172
4500,0.000212266
150,0.000006672
15000,0.000579570
25,0.000001282
30,0.000001112
4000,0.000185455
20000,0.000791324
100000,0.004296595
35,0.000001703
500000,0.023417681
40,0.000001853
25000,0.001017666
300,0.000012503
3500,0.000169416
45,0.000002003
30000,0.001195076
50,0.000002475
350000,0.016216925
3000,0.000128960
35000,0.001922231
40000,0.001705217
450,0.000019376
200000,0.008986704
2500,0.000112098
200,0.000009538
45000,0.001838806
1000000,0.048508752
2000,0.000105687
50000,0.002113338
450000,0.021160427
1500,0.000054241
350,0.000014196
100,0.000004779
300000,0.013697331
1000,0.000049633
150000,0.006559933
500,0.000017693
250,0.000011050
