Size,Time
0,0.000000070
1,0.000000811
2,0.000000281
3,0.000000281
4,0.000000521
5,0.000000592
400000,0.000329424
5000,0.000002634
10,0.000000892
15,0.000000300
400,0.000000301
10000,0.000006372
250000,0.000181549
20,0.000000350
4500,0.000002906
150,0.000001583
15000,0.000006181
25,0.000000401
30,0.000000341
4000,0.000002395
20000,0.000011031
100000,0.000065663
35,0.000000501
500000,0.000511042
40,0.000000521
25000,0.000009498
300,0.000000250
3500,0.000001764
45,0.000000551
30000,0.000011321
50,0.000000811
350000,0.000244115
3000,0.000001413
35000,0.000023895
40000,0.000038322
450,0.000000270
200000,0.000125804
2500,0.000001323
200,0.000001984
45000,0.000025637
1000000,0.000757351
2000,0.000001082
50000,0.000023714
450000,0.000354410
1500,0.000000672
350,0.000000241
100,0.000001102
300000,0.000202928
1000,0.000000711
150000,0.000087814
500,0.000000361
250,0.000002765
