Size,Time
0,0.000000290
1,0.000000952
2,0.000001173
3,0.000000802
4,0.000000961
5,0.000000941
400000,0.019235530
5000,0.000181317
10,0.000001352
15,0.000000872
400,0.000016901
10000,0.000473402
250000,0.012021328
20,0.000000972
4500,0.000206885
150,0.000007314
15000,0.000560244
25,0.000001223
30,0.000001372
4000,0.000176840
20000,0.000819216
100000,0.004368630
35,0.000001663
500000,0.024866051
40,0.000001783
25000,0.000976870
300,0.000011261
3500,0.000177661
45,0.000002314
30000,0.001225934
50,0.000001863
350000,0.016794802
3000,0.000107410
35000,0.001414546
40000,0.001641158
450,0.000020187
200000,0.009177029
2500,0.000123630
200,0.000009848
45000,0.001891254
1000000,0.049624089
2000,0.000088956
50000,0.002082741
450000,0.022084227
1500,0.000070461
350,0.000016321
100,0.000004669
300000,0.014579405
1000,0.000044713
150000,0.006777979
500,0.000018134
250,0.000012393
