Size,Time
0,0.000000080
1,0.000000561
2,0.000000250
3,0.000000431
4,0.000000481
5,0.000000481
400000,0.000268790
5000,0.000002164
10,0.000000822
15,0.000000271
400,0.000000270
10000,0.000006221
250000,0.000204061
20,0.000000320
4500,0.000002715
150,0.000001713
15000,0.000008205
25,0.000000361
30,0.000000330
4000,0.000002374
20000,0.000009568
100000,0.000062486
35,0.000000460
500000,0.000413240
40,0.000000510
25000,0.000010680
300,0.000000451
3500,0.000002334
45,0.000000651
30000,0.000011332
50,0.000000531
350000,0.000255335
3000,0.000001272
35000,0.000016611
40000,0.000015028
450,0.000000261
200000,0.000128900
2500,0.000001253
200,0.000010048
45000,0.000025076
1000000,0.000682471
2000,0.000001192
50000,0.000030487
450000,0.000414632
1500,0.000000892
350,0.000000221
100,0.000001182
300000,0.000211034
1000,0.000000530
150000,0.000100738
500,0.000000260
250,0.000003606
