Size,Time
0,0.000000231
1,0.000001022
2,0.000017262
3,0.000000631
4,0.000000712
5,0.000000572
400000,0.019023315
5000,0.000229417
10,0.000001663
15,0.000000641
400,0.000016370
10000,0.000377102
250000,0.011717332
20,0.000001203
4500,0.000205382
150,0.000007263
15000,0.000568499
25,0.000000971
30,0.000001462
4000,0.000180226
20000,0.000823444
100000,0.004398506
35,0.000001533
500000,0.023403996
40,0.000001443
25000,0.000990325
300,0.000013866
3500,0.000178863
45,0.000002184
30000,0.001256261
50,0.000003146
350000,0.016458245
3000,0.000109784
35000,0.001416630
40000,0.001626731
450,0.000019085
200000,0.009111636
2500,0.000113571
200,0.000009598
45000,0.001851199
1000000,0.048558444
2000,0.000089567
50000,0.002524934
450000,0.021496542
1500,0.000067286
350,0.000014427
100,0.000004689
300000,0.014193916
1000,0.000046436
150000,0.006594747
500,0.000019416
250,0.000010550
