Size,Time
0,0.000000060
1,0.000000340
2,0.000000370
3,0.000000351
4,0.000000321
5,0.000000561
400000,0.000303466
5000,0.000003627
10,0.000000731
15,0.000000221
400,0.000000271
10000,0.000004478
250000,0.000200984
20,0.000000351
4500,0.000002575
150,0.000001703
15000,0.000006562
25,0.000000291
30,0.000000441
4000,0.000002094
20000,0.000009588
100000,0.000077775
35,0.000000461
500000,0.000460448
40,0.000000441
25000,0.000011001
300,0.000000351
3500,0.000002144
45,0.000000601
30000,0.000011561
50,0.000000671
350000,0.000252441
3000,0.000001563
35000,0.000022542
40000,0.000019496
450,0.000000381
200000,0.000108572
2500,0.000001422
200,0.000002244
45000,0.000020698
1000000,0.000863859
2000,0.000001162
50000,0.000037610
450000,0.000523656
1500,0.000000942
350,0.000000210
100,0.000001253
300000,0.000215702
1000,0.000000561
150000,0.000066263
500,0.000000441
250,0.000000270
