Size,Time
0,0.000000271
1,0.000001112
2,0.000001062
3,0.000000751
4,0.000000972
5,0.000000991
400000,0.019149970
5000,0.000255737
10,0.000001433
15,0.000000801
400,0.000016180
10000,0.000463233
250000,0.011837656
20,0.000001022
4500,0.000211664
150,0.000007083
15000,0.000618913
25,0.000001302
30,0.000001342
4000,0.000187129
20000,0.000782167
100000,0.004324317
35,0.000001603
500000,0.023578432
40,0.000001543
25000,0.000993722
300,0.000012273
3500,0.000158595
45,0.000001663
30000,0.001209262
50,0.000002535
350000,0.016747734
3000,0.000148587
35000,0.001429613
40000,0.002127625
450,0.000021069
200000,0.009143616
2500,0.000092031
200,0.000009929
45000,0.002032828
1000000,0.049157801
2000,0.000101919
50000,0.002076048
450000,0.021123427
1500,0.000066955
350,0.000015038
100,0.000004669
300000,0.014106132
1000,0.000041878
150000,0.006668064
500,0.000023293
250,0.000114554
