Size,Time
0,0.000000071
1,0.000000691
2,0.000000370
3,0.000000361
4,0.000000521
5,0.000000601
400000,0.000294879
5000,0.000002254
10,0.000000882
15,0.000000271
400,0.000000260
10000,0.000006873
250000,0.000191026
20,0.000000331
4500,0.000002525
150,0.000001713
15000,0.000006592
25,0.000000380
30,0.000000351
4000,0.000002204
20000,0.000010359
100000,0.000045625
35,0.000000460
500000,0.000393994
40,0.000000431
25000,0.000009468
300,0.000000200
3500,0.000001934
45,0.000000481
30000,0.000011932
50,0.000000651
350000,0.000263892
3000,0.000001723
35000,0.000012985
40000,0.000038432
450,0.000000301
200000,0.000134490
2500,0.000000952
200,0.000002255
45000,0.000021580
1000000,0.000754255
2000,0.000001002
50000,0.000019146
450000,0.000328462
1500,0.000000822
350,0.000000250
100,0.000001252
300000,0.000218167
1000,0.000000742
150000,0.000092732
500,0.000000341
250,0.000002254
