Size,Time
0,0.000000281
1,0.000000922
2,0.000000892
3,0.000000731
4,0.000000922
5,0.000000962
400000,0.018797143
5000,0.000259694
10,0.000001232
15,0.000000922
400,0.000017072
10000,0.000368677
250000,0.011364544
20,0.000001072
4500,0.000200213
150,0.000007003
15000,0.000627930
25,0.000001212
30,0.000001583
4000,0.000179714
20000,0.000881362
100000,0.004316211
35,0.000001583
500000,0.023461323
40,0.000001983
25000,0.000980417
300,0.000010089
3500,0.000156181
45,0.000002124
30000,0.001205126
50,0.000002275
350000,0.016229790
3000,0.000135793
35000,0.001417902
40000,0.001608466
450,0.000018625
200000,0.008921783
2500,0.000109804
200,0.000007675
45000,0.001855788
1000000,0.048663490
2000,0.000088595
50000,0.002077290
450000,0.021045503
1500,0.000067326
350,0.000016250
100,0.000003756
300000,0.013764415
1000,0.000049302
150000,0.008698407
500,0.000022422
250,0.000008976
