Size,Time
0,0.000000069
1,0.000000661
2,0.000000251
3,0.000000360
4,0.000005580
5,0.000000661
400000,0.000311892
5000,0.000002495
10,0.000000932
15,0.000000311
400,0.000000361
10000,0.000005030
250000,0.000177792
20,0.000000311
4500,0.000002365
150,0.000001603
15000,0.000006702
25,0.000000371
30,0.000000401
4000,0.000002225
20000,0.000008796
100000,0.000056916
35,0.000000450
500000,0.000632959
40,0.000000551
25000,0.000009678
300,0.000000190
3500,0.000001943
45,0.000000601
30000,0.000011692
50,0.000000601
350000,0.000244676
3000,0.000001683
35000,0.000013105
40000,0.000068798
450,0.000000260
200000,0.000136204
2500,0.000001443
200,0.000001683
45000,0.000036308
1000000,0.001207419
2000,0.000001232
50000,0.000024265
450000,0.000539505
1500,0.000000741
350,0.000000240
100,0.000000941
300000,0.000205122
1000,0.000000711
150000,0.000105306
500,0.000000331
250,0.000002204
