Size,Time
0,0.000000291
1,0.000001033
2,0.000001222
3,0.000000682
4,0.000001303
5,0.000001212
400000,0.018758612
5000,0.000235338
10,0.000001483
15,0.000000621
400,0.000016871
10000,0.000444428
250000,0.011322045
20,0.000001042
4500,0.000205764
150,0.000005400
15000,0.000634101
25,0.000001303
30,0.000001422
4000,0.000174515
20000,0.000801404
100000,0.004308267
35,0.000001794
500000,0.023609520
40,0.000002354
25000,0.001291276
300,0.000013635
3500,0.000167051
45,0.000002215
30000,0.001229921
50,0.000002385
350000,0.016265065
3000,0.000143297
35000,0.001420748
40000,0.001646057
450,0.000019416
200000,0.008930519
2500,0.000113291
200,0.000009308
45000,0.001859234
1000000,0.048725355
2000,0.000091260
50000,0.002063565
450000,0.021409170
1500,0.000062597
350,0.000014717
100,0.000004659
300000,0.013798941
1000,0.000047749
150000,0.006631976
500,0.000022612
250,0.000120695
